Black Body Radiation Experiment Wed, Oct 19, 2022 11:01 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.06094
0.00000	-0.05852
0.00000	-0.06045
0.00000	-0.05949
0.00000	-0.06641
0.00000	-0.06593
0.00000	-0.06158
0.00000	-0.05884
0.00000	-0.06287
0.00000	-0.06496
0.00000	-0.06351
0.00000	-0.06206
0.00000	-0.06271
0.00000	-0.05900
0.00000	-0.06786
0.00000	-0.06351
0.00000	-0.05691
0.00000	-0.06110
0.00000	-0.06174
0.00000	-0.06512
0.00000	-0.06174
0.00000	-0.06367
0.00000	-0.06561
0.00000	-0.06545
0.00000	-0.06400
0.00000	-0.06222
0.00000	-0.05916
0.00000	-0.06029
0.00000	-0.06239
0.00000	-0.06045
0.00000	-0.06142
0.00000	-0.06657
0.00000	-0.05997
0.00000	-0.06335
0.00000	-0.06432
0.00000	-0.06142
0.00000	-0.06287
0.00000	-0.06287
0.00000	-0.06206
0.00000	-0.06013
0.00000	-0.06351
0.00000	-0.06351
0.00000	-0.06496
0.00000	-0.06190
0.00000	-0.06416
0.00000	-0.06448
0.00000	-0.06448
0.00000	-0.06545
0.00000	-0.06319
0.00000	-0.06094
0.00000	-0.06351
0.00000	-0.06190
0.00000	-0.06110
0.00000	-0.06480
0.01035	-0.06239
0.01035	-0.06335
0.01035	-0.06029
0.01035	-0.06013
0.02070	-0.06577
0.02070	-0.06464
0.04139	-0.06142
0.05174	-0.05916
0.07244	-0.06206
0.09313	-0.06351
0.11383	-0.06126
0.14487	-0.06367
0.17592	-0.06110
0.19662	-0.06448
0.21731	-0.06174
0.22766	-0.06255
0.22766	-0.06384
0.23801	-0.06561
0.24836	-0.06061
0.25870	-0.05788
0.26905	-0.05675
0.27940	-0.06061
0.28975	-0.06496
0.31045	-0.06319
0.33114	-0.06577
0.35184	-0.06271
0.38288	-0.06255
0.42428	-0.06303
0.45532	-0.05852
0.50706	-0.06255
0.54845	-0.06464
0.60020	-0.06190
0.64159	-0.06255
0.67263	-0.06303
0.71403	-0.06287
0.75542	-0.05868
0.79681	-0.05788
0.84855	-0.06061
0.88994	-0.06094
0.94169	-0.06029
0.99343	-0.06029
1.03482	-0.06222
1.06586	-0.06448
1.11761	-0.06287
1.15900	-0.06319
1.19004	-0.06496
1.23144	-0.06077
1.27283	-0.05804
1.31422	-0.06625
1.36596	-0.06561
1.40735	-0.06126
1.45910	-0.05933
1.51084	-0.06110
1.56258	-0.05965
1.59362	-0.06239
1.60397	-0.05900
1.60397	-0.05981
1.60397	-0.06045
1.60397	-0.06367
1.60397	-0.06206
1.60397	-0.06126
1.60397	-0.06029
1.60397	-0.06190
1.60397	-0.06400
1.60397	-0.06158
1.60397	-0.06110
1.60397	-0.06029
1.60397	-0.05900
1.60397	-0.05965
1.60397	-0.05868
1.60397	-0.06110
1.60397	-0.06174
1.60397	-0.05868
1.60397	-0.06239
1.60397	-0.06126
1.61432	-0.06206
1.62467	-0.05514
1.65571	-0.06480
1.69710	-0.06384
1.73850	-0.06480
1.77989	-0.05965
1.83163	-0.06061
1.86268	-0.06351
1.90407	-0.06287
1.93511	-0.06190
1.96616	-0.06480
1.98685	-0.06029
2.01790	-0.06190
2.05929	-0.06367
2.12138	-0.06174
2.17312	-0.05965
2.23521	-0.05965
2.30765	-0.06206
2.36974	-0.06174
2.43183	-0.05916
2.49392	-0.05836
2.54566	-0.05788
2.59740	-0.06126
2.62844	-0.05981
2.65949	-0.06045
2.69053	-0.06045
2.70088	-0.06077
2.72158	-0.05884
2.74227	-0.05965
2.75262	-0.05788
2.76297	-0.05739
2.77332	-0.05643
2.78366	-0.05659
2.80436	-0.06077
2.82506	-0.05884
2.84575	-0.06384
2.87680	-0.05788
2.91819	-0.05997
2.95958	-0.06190
3.00098	-0.05916
3.05272	-0.05997
3.12516	-0.06206
3.17690	-0.06432
3.25968	-0.06222
3.27003	-0.06239
3.36316	-0.06174
3.39421	-0.06174
3.47699	-0.05788
3.52873	-0.05916
3.61152	-0.06029
3.65291	-0.05852
3.74605	-0.06029
3.79779	-0.06287
3.85988	-0.06158
3.93231	-0.06094
3.98406	-0.06174
4.04614	-0.05997
4.11858	-0.06303
4.23241	-0.06593
4.34624	-0.06351
4.47042	-0.06174
4.58425	-0.05900
4.69808	-0.06174
4.79121	-0.06142
4.88435	-0.05852
4.98783	-0.06287
5.10166	-0.06013
5.20514	-0.05997
5.30862	-0.05933
5.41211	-0.05965
5.51559	-0.06094
5.60872	-0.05933
5.70186	-0.05691
5.79499	-0.05997
5.87778	-0.05997
5.97091	-0.06013
6.04335	-0.05981
6.10544	-0.05916
6.16752	-0.05884
6.21927	-0.05771
6.28136	-0.05852
6.34344	-0.05691
6.39519	-0.05739
6.45727	-0.06287
6.51936	-0.05900
6.59180	-0.06094
6.66424	-0.06432
6.74702	-0.05933
6.81946	-0.06319
6.90225	-0.06094
6.98503	-0.06061
7.06782	-0.06110
7.16095	-0.05691
7.25409	-0.06335
7.33687	-0.06110
7.43000	-0.05691
7.51279	-0.05675
7.59558	-0.05755
7.67836	-0.06029
7.75080	-0.05755
7.82324	-0.05755
7.87498	-0.06013
7.91637	-0.06464
7.98881	-0.05965
8.05090	-0.05884
8.11299	-0.05836
8.17507	-0.06158
8.24751	-0.06319
8.30960	-0.06174
8.39239	-0.05997
8.47517	-0.05981
8.56831	-0.06029
8.65109	-0.06222
8.73388	-0.05675
8.82701	-0.06432
8.90980	-0.06045
8.99258	-0.05900
9.08572	-0.05933
9.16850	-0.06222
9.24094	-0.06239
9.32372	-0.05771
9.40651	-0.05562
9.46860	-0.05916
9.54104	-0.05852
9.61347	-0.05691
9.68591	-0.05900
9.75835	-0.05659
9.84113	-0.05804
9.92392	-0.05836
10.01705	-0.05755
10.08949	-0.05804
10.17228	-0.05981
10.24471	-0.05949
10.31715	-0.06061
10.41029	-0.05546
10.48272	-0.05449
10.56551	-0.06158
10.66899	-0.05852
10.75178	-0.06013
10.82421	-0.05739
10.88630	-0.05707
10.95874	-0.05788
11.01048	-0.05981
11.07257	-0.05417
11.12431	-0.05562
11.17605	-0.05659
11.21744	-0.06142
11.25884	-0.06061
11.28988	-0.05916
11.33127	-0.05916
11.36232	-0.05933
11.39336	-0.05820
11.42441	-0.06126
11.44510	-0.05562
11.47615	-0.05739
11.50719	-0.05788
11.54859	-0.05949
11.58998	-0.05949
11.62102	-0.06077
11.64172	-0.05997
11.68311	-0.05820
11.73485	-0.05916
11.78660	-0.05771
11.83834	-0.06110
11.87973	-0.05610
11.93147	-0.05755
11.99356	-0.05836
12.05565	-0.06061
12.11774	-0.06190
12.19018	-0.06077
12.27296	-0.05788
12.35575	-0.06287
12.42818	-0.06174
12.51097	-0.05610
12.60410	-0.06158
12.67654	-0.05594
12.74898	-0.05626
12.83176	-0.05965
12.90420	-0.05900
12.95594	-0.05562
12.99733	-0.05755
13.03873	-0.05336
13.08012	-0.05965
13.12151	-0.05852
13.14221	-0.05788
13.17325	-0.06077
13.20430	-0.06319
13.23534	-0.05804
13.30778	-0.05884
13.33882	-0.05675
13.36987	-0.05594
13.41126	-0.06029
13.46300	-0.05385
13.50440	-0.05884
13.56649	-0.05820
13.60788	-0.05578
13.66997	-0.05739
13.73206	-0.05755
13.78380	-0.05675
13.85623	-0.05836
13.91832	-0.05336
13.98041	-0.05771
14.03215	-0.05949
14.07355	-0.05594
14.12529	-0.05675
14.16668	-0.05030
14.20807	-0.05997
14.23912	-0.05143
14.25981	-0.05804
14.29086	-0.05578
14.30121	-0.05401
14.33225	-0.05965
14.35295	-0.05852
14.37364	-0.05868
14.40469	-0.06094
14.42539	-0.05965
14.44608	-0.05546
14.47713	-0.05320
14.50817	-0.05788
14.54956	-0.05594
14.59096	-0.05465
14.62200	-0.05997
14.65305	-0.06061
14.69444	-0.05723
14.72548	-0.05788
14.74618	-0.05739
14.77722	-0.05643
14.80827	-0.05755
14.82897	-0.05755
14.86001	-0.05900
14.88071	-0.05659
14.90140	-0.05594
14.92210	-0.05916
14.95314	-0.05626
14.97384	-0.05788
14.98419	-0.05739
14.99454	-0.05755
15.00488	-0.06045
15.01523	-0.06013
15.01523	-0.05433
15.01523	-0.05626
15.01523	-0.05578
15.01523	-0.05659
15.01523	-0.05723
15.01523	-0.05739
15.01523	-0.05691
15.01523	-0.05868
15.01523	-0.05562
15.01523	-0.05610
15.01523	-0.05562
15.02558	-0.05884
15.02558	-0.05804
15.02558	-0.05836
15.03593	-0.05981
15.04628	-0.05723
15.05663	-0.05465
15.07732	-0.05578
15.09802	-0.05691
15.12906	-0.05546
15.16011	-0.05643
15.18080	-0.05804
15.20150	-0.05626
15.23254	-0.05546
15.26359	-0.05369
15.28429	-0.05546
15.30498	-0.05320
15.32568	-0.05836
15.33603	-0.05771
15.35672	-0.05401
15.36707	-0.05175
15.38777	-0.05433
15.39812	-0.05836
15.39812	-0.05949
