Black Body Radiation Experiment Wed, Oct 19, 2022 11:04 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.13246
0.00000	-0.13230
0.00000	-0.13327
0.00000	-0.13391
0.00000	-0.13101
0.00000	-0.13295
0.00000	-0.12731
0.00000	-0.13150
0.00000	-0.13279
0.00000	-0.13730
0.00000	-0.13327
0.00000	-0.13504
0.00000	-0.12908
0.00000	-0.12699
0.00000	-0.12570
0.00000	-0.13440
0.00000	-0.13230
0.00000	-0.13585
0.00000	-0.12908
0.00000	-0.13117
0.00000	-0.13536
0.00000	-0.13391
0.00000	-0.13472
0.00000	-0.13311
0.00000	-0.12844
0.00000	-0.13407
0.00000	-0.13166
0.00000	-0.12892
0.00000	-0.13311
0.00000	-0.13021
0.00000	-0.13005
0.00000	-0.13520
0.00000	-0.13037
0.00000	-0.13440
0.00000	-0.12699
0.00000	-0.13407
0.00000	-0.13214
0.00000	-0.12972
0.01035	-0.13182
0.01035	-0.13262
0.01035	-0.13697
0.01035	-0.13134
0.01035	-0.12989
0.01035	-0.13536
0.01035	-0.13343
0.01035	-0.12699
0.01035	-0.13424
0.01035	-0.13295
0.01035	-0.13295
0.01035	-0.13085
0.01035	-0.13504
0.01035	-0.13504
0.01035	-0.13601
0.01035	-0.13134
0.02070	-0.13198
0.02070	-0.13214
0.02070	-0.13295
0.02070	-0.13085
0.02070	-0.13246
0.02070	-0.13375
0.02070	-0.13021
0.02070	-0.13279
0.02070	-0.13295
0.02070	-0.13295
0.03104	-0.13166
0.03104	-0.12972
0.03104	-0.13021
0.03104	-0.13391
0.03104	-0.13182
0.03104	-0.13246
0.03104	-0.13407
0.05174	-0.13472
0.08279	-0.13359
0.22766	-0.13069
0.36219	-0.13085
0.52776	-0.13069
0.68298	-0.13214
0.92099	-0.13134
1.10726	-0.13262
1.34527	-0.13214
1.57293	-0.12972
1.77989	-0.13134
2.00755	-0.12940
2.26625	-0.13391
2.48357	-0.13262
2.71123	-0.13262
2.87680	-0.13230
3.00098	-0.13246
3.14585	-0.13085
3.28038	-0.13101
3.39421	-0.13150
3.51839	-0.13166
3.61152	-0.12989
3.67361	-0.13021
3.72535	-0.13359
3.77709	-0.13085
3.82883	-0.12956
3.88057	-0.13021
3.93231	-0.12650
3.99440	-0.12860
4.05649	-0.13053
4.12893	-0.12940
4.19102	-0.13343
4.27380	-0.12763
4.32555	-0.12876
4.40833	-0.13117
4.48077	-0.13117
4.56355	-0.13085
4.63599	-0.13053
4.70843	-0.13230
4.77052	-0.13005
4.85330	-0.13279
4.90504	-0.13198
4.99818	-0.13117
5.06027	-0.13085
5.13271	-0.13295
5.18445	-0.12747
5.22584	-0.13101
5.30862	-0.13230
5.38106	-0.13005
5.44315	-0.13569
5.50524	-0.13198
