Black Body Radiation Experiment Wed, Oct 19, 2022 11:02 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.12827
0.00000	-0.12972
0.00000	-0.12779
0.00000	-0.12409
0.00000	-0.12586
0.00000	-0.13182
0.00000	-0.12763
0.00000	-0.12457
0.00000	-0.12795
0.00000	-0.12972
0.00000	-0.12860
0.00000	-0.12892
0.00000	-0.12763
0.00000	-0.13295
0.00000	-0.13407
0.00000	-0.12682
0.00000	-0.12972
0.00000	-0.12763
0.00000	-0.13246
0.00000	-0.12924
0.00000	-0.12505
0.00000	-0.13021
0.00000	-0.12811
0.00000	-0.12924
0.00000	-0.12844
0.00000	-0.12844
0.00000	-0.12650
0.00000	-0.13101
0.00000	-0.12956
0.00000	-0.12473
0.00000	-0.12779
0.00000	-0.12989
0.00000	-0.13085
0.00000	-0.12747
0.00000	-0.12876
0.00000	-0.12972
0.00000	-0.12908
0.00000	-0.12731
0.00000	-0.13391
0.00000	-0.13037
0.00000	-0.12554
0.00000	-0.12521
0.00000	-0.13262
0.00000	-0.13053
0.00000	-0.12811
0.00000	-0.12779
0.00000	-0.12908
0.00000	-0.12699
0.00000	-0.13182
0.00000	-0.12956
0.00000	-0.12457
0.00000	-0.13037
0.00000	-0.13166
0.00000	-0.13101
0.00000	-0.12844
0.00000	-0.13117
0.00000	-0.12924
0.00000	-0.13343
0.00000	-0.12344
0.00000	-0.12827
0.00000	-0.12795
0.00000	-0.13101
0.00000	-0.13053
0.00000	-0.13295
0.00000	-0.12699
0.00000	-0.12827
0.00000	-0.12956
0.00000	-0.13182
0.00000	-0.12425
0.00000	-0.13907
0.00000	-0.12811
0.00000	-0.13085
0.01035	-0.12876
0.01035	-0.12489
0.03104	-0.13230
0.07244	-0.12860
0.16557	-0.12860
0.21731	-0.13262
0.27940	-0.12956
0.32079	-0.12844
0.38288	-0.12747
0.42428	-0.12956
0.45532	-0.12860
0.47602	-0.12521
0.48637	-0.12892
0.48637	-0.13005
0.48637	-0.13037
0.48637	-0.12715
0.48637	-0.12731
0.48637	-0.13005
0.48637	-0.12634
0.49671	-0.12731
0.50706	-0.13021
0.52776	-0.12876
0.54845	-0.13295
0.55880	-0.13166
0.56915	-0.13230
0.58985	-0.12779
0.61054	-0.12811
0.63124	-0.12699
0.64159	-0.13005
0.64159	-0.13230
0.64159	-0.12972
0.64159	-0.13005
0.64159	-0.13069
0.64159	-0.12747
0.64159	-0.13053
0.64159	-0.13005
0.64159	-0.12795
0.64159	-0.12892
0.64159	-0.12457
0.64159	-0.13295
0.64159	-0.12650
0.64159	-0.13069
0.64159	-0.13053
0.64159	-0.12827
0.64159	-0.12924
0.64159	-0.12876
0.64159	-0.12731
0.64159	-0.12328
0.64159	-0.13198
0.64159	-0.12908
0.64159	-0.12747
0.64159	-0.13085
0.64159	-0.12827
0.64159	-0.13262
0.64159	-0.13005
0.64159	-0.12956
0.64159	-0.12521
0.64159	-0.12747
0.64159	-0.12972
0.65194	-0.12908
0.72437	-0.12586
0.77611	-0.13005
0.82786	-0.13391
0.86925	-0.13069
0.94169	-0.12666
1.00378	-0.12731
1.06586	-0.13134
1.14865	-0.12892
1.22109	-0.13021
1.27283	-0.12876
1.31422	-0.12537
1.34527	-0.12682
1.36596	-0.12699
1.40735	-0.13230
1.46944	-0.13327
1.53153	-0.13053
1.58327	-0.13166
1.64536	-0.12892
1.73850	-0.13037
1.82128	-0.12989
1.92476	-0.12779
2.03859	-0.13117
2.13173	-0.12779
