Black Body Radiation Experiment Wed, Oct 19, 2022 11:34 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.05820
0.00000	-0.05675
0.00000	-0.05127
0.00000	-0.05562
0.00000	-0.06077
0.00000	-0.05739
0.00000	-0.05739
0.00000	-0.05562
0.00000	-0.05675
0.00000	-0.06061
0.00000	-0.05755
0.00000	-0.06142
0.00000	-0.05304
0.00000	-0.05884
0.00000	-0.05417
0.00000	-0.05675
0.00000	-0.05626
0.00000	-0.05884
0.00000	-0.06094
0.00000	-0.06013
0.00000	-0.05304
0.00000	-0.05836
0.00000	-0.05755
0.00000	-0.05707
0.00000	-0.05771
0.00000	-0.06029
0.00000	-0.06126
0.00000	-0.05739
0.00000	-0.05788
0.00000	-0.05933
0.00000	-0.05626
0.00000	-0.05304
0.00000	-0.05788
0.00000	-0.05884
0.00000	-0.05417
0.00000	-0.05465
0.00000	-0.05449
0.00000	-0.05997
0.00000	-0.05900
0.00000	-0.05723
0.00000	-0.05691
0.00000	-0.05610
0.00000	-0.06110
0.00000	-0.05707
0.00000	-0.06142
0.00000	-0.05401
0.00000	-0.05369
0.00000	-0.05498
0.00000	-0.05691
0.00000	-0.05852
0.02070	-0.05659
0.03104	-0.05739
0.05174	-0.05949
0.08279	-0.05723
0.11383	-0.05675
0.15522	-0.05820
0.20696	-0.05691
0.24836	-0.05079
0.31045	-0.05465
0.39323	-0.05659
0.44497	-0.06110
0.50706	-0.05111
0.55880	-0.05723
0.61054	-0.05546
0.65194	-0.06045
0.69333	-0.05546
0.72437	-0.05256
0.75542	-0.05675
0.79681	-0.05481
0.84855	-0.05465
0.91064	-0.05643
0.97273	-0.05691
1.04517	-0.05546
1.12795	-0.05739
1.23144	-0.05707
1.31422	-0.05836
1.39701	-0.05111
1.49014	-0.05417
1.58327	-0.05788
1.68676	-0.05288
1.77989	-0.05626
1.85233	-0.05836
1.93511	-0.05449
2.00755	-0.05626
2.09034	-0.05707
2.16277	-0.05272
2.23521	-0.05755
2.30765	-0.05288
2.39043	-0.05320
2.46287	-0.05514
2.52496	-0.05626
2.58705	-0.05465
2.65949	-0.05336
2.73192	-0.05369
2.82506	-0.05465
2.91819	-0.05159
3.03202	-0.05498
3.13550	-0.05224
3.24933	-0.05610
3.36316	-0.05514
3.47699	-0.05449
3.60117	-0.05208
3.71500	-0.05739
3.83918	-0.05465
3.94266	-0.05256
4.05649	-0.05449
4.17032	-0.05401
4.28415	-0.05498
4.38764	-0.05401
4.49112	-0.04982
4.58425	-0.05191
4.70843	-0.05755
4.80156	-0.05498
4.88435	-0.05530
4.95679	-0.05481
5.03957	-0.05208
5.11201	-0.05417
5.18445	-0.05224
5.25688	-0.05240
5.32932	-0.05369
5.40176	-0.05240
5.48454	-0.05224
5.57768	-0.05884
5.68116	-0.05288
5.77429	-0.05562
5.86743	-0.05240
5.95021	-0.05417
6.04335	-0.05449
6.11578	-0.05546
6.19857	-0.05610
6.29170	-0.04805
6.35379	-0.04918
6.45727	-0.05723
6.52971	-0.05707
6.61250	-0.05465
6.70563	-0.05546
6.78842	-0.05594
6.88155	-0.05256
6.97468	-0.05385
7.08851	-0.05288
7.20234	-0.05240
7.29548	-0.05256
7.41966	-0.05449
7.53349	-0.05369
7.63697	-0.05771
7.75080	-0.05240
7.87498	-0.05272
7.98881	-0.05304
8.09229	-0.05369
8.20612	-0.05063
8.34065	-0.05159
8.45448	-0.05304
8.55796	-0.05063
8.69248	-0.05481
8.82701	-0.05449
8.96154	-0.05175
9.13746	-0.05224
9.31338	-0.05224
9.46860	-0.05159
9.56173	-0.04918
9.68591	-0.05691
9.78939	-0.05111
9.89288	-0.05288
9.97566	-0.04982
10.04810	-0.05079
10.12054	-0.05465
10.19297	-0.05353
10.25506	-0.05014
10.30680	-0.05208
10.37924	-0.05240
10.43098	-0.05175
10.50342	-0.05353
10.56551	-0.05159
10.62760	-0.05014
10.71038	-0.05514
10.78282	-0.04998
10.85526	-0.05562
10.93804	-0.05127
11.02083	-0.04918
11.10361	-0.05336
11.18640	-0.05691
11.25884	-0.05304
11.34162	-0.05433
11.42441	-0.04869
11.49685	-0.05208
11.57963	-0.05240
11.65207	-0.04966
11.73485	-0.05208
11.79694	-0.05095
11.86938	-0.05127
11.94182	-0.04885
12.01426	-0.05224
12.07634	-0.05369
12.12809	-0.05030
12.19018	-0.05095
12.24192	-0.05272
12.29366	-0.05224
12.34540	-0.04982
12.40749	-0.04966
12.47992	-0.04901
12.54201	-0.04966
12.60410	-0.04950
12.66619	-0.05143
12.72828	-0.05385
12.80072	-0.05159
12.86281	-0.04756
12.92490	-0.05578
12.99733	-0.04934
13.03873	-0.05127
13.08012	-0.05369
13.12151	-0.05127
13.17325	-0.04966
13.21465	-0.05063
13.25604	-0.05224
13.28708	-0.04966
13.32848	-0.05014
13.36987	-0.05208
13.42161	-0.05127
13.47335	-0.05159
13.54579	-0.05578
13.60788	-0.05353
13.68032	-0.05385
13.77345	-0.05095
13.85623	-0.05256
13.94937	-0.05304
14.07355	-0.04885
14.22877	-0.04885
14.34260	-0.04869
14.42539	-0.05288
14.53922	-0.05014
14.66339	-0.05143
14.79792	-0.05030
14.90140	-0.05079
14.99454	-0.05336
15.06697	-0.04837
15.12906	-0.05433
15.19115	-0.05336
15.24289	-0.05256
15.31533	-0.04756
15.40846	-0.04869
15.44986	-0.04918
15.49125	-0.04918
15.55334	-0.05143
15.59473	-0.04789
15.64647	-0.04418
15.71891	-0.04869
15.84309	-0.04628
15.92587	-0.04692
16.00866	-0.05046
16.10179	-0.04869
16.18458	-0.05449
16.28806	-0.04450
16.37085	-0.04676
16.46398	-0.04434
16.52607	-0.04950
16.59851	-0.05046
16.66060	-0.04467
16.71234	-0.04724
16.75373	-0.04644
16.79512	-0.04579
16.83652	-0.04628
16.85721	-0.04837
16.88826	-0.05014
16.91930	-0.04901
16.94000	-0.04338
16.96069	-0.04692
17.01243	-0.04885
17.05383	-0.04547
17.09522	-0.04563
17.15731	-0.04853
17.20905	-0.04628
17.27114	-0.04418
17.33323	-0.04273
17.38497	-0.04644
17.49880	-0.04628
17.57124	-0.04370
17.64367	-0.04547
17.69542	-0.04547
17.74716	-0.04579
17.79890	-0.04386
17.85064	-0.04515
17.92308	-0.04177
18.00586	-0.04257
18.07830	-0.04386
18.14039	-0.04338
18.20248	-0.04338
18.26457	-0.03661
18.31631	-0.04160
18.40944	-0.04499
18.46118	-0.04193
18.52327	-0.04160
18.60606	-0.04032
18.66815	-0.04015
18.75093	-0.04032
18.81302	-0.04305
18.88546	-0.03564
18.92685	-0.03887
18.96824	-0.03935
18.99929	-0.03484
19.05103	-0.03758
19.13381	-0.03242
19.21660	-0.03645
19.35113	-0.03709
19.45461	-0.02952
19.56844	-0.03532
19.75471	-0.02936
19.92028	-0.02807
20.10655	-0.02179
20.32386	-0.01873
20.56187	-0.01325
20.75848	-0.00536
20.99649	0.00238
21.22415	0.01220
21.46216	0.02525
21.65877	0.03524
21.85539	0.05167
22.05201	0.05473
22.26932	0.06424
22.39350	0.06762
22.56942	0.06971
22.74534	0.07036
22.83847	0.07439
22.90056	0.07213
22.92125	0.06746
22.93160	0.06488
22.94195	0.06714
22.95230	0.06343
22.98334	0.06553
23.00404	0.06005
23.05578	0.05731
23.10752	0.05570
23.16961	0.04958
23.23170	0.04716
23.30414	0.04394
23.38692	0.04249
23.46971	0.03669
23.56284	0.03282
23.65598	0.02960
23.74911	0.02058
23.86294	0.01832
23.95607	0.01188
24.02851	0.00898
24.11130	0.00495
24.21478	-0.00214
24.31826	-0.00262
24.42174	-0.01164
24.51488	-0.01245
24.59766	-0.01438
24.67010	-0.01696
24.73219	-0.02211
24.79428	-0.02678
24.83567	-0.02598
24.84602	-0.02388
24.85637	-0.03371
24.86672	-0.03017
24.89776	-0.03129
24.92880	-0.03178
24.95985	-0.03226
25.02194	-0.03790
25.09438	-0.03629
25.17716	-0.03339
25.27029	-0.03677
25.34273	-0.03806
25.42552	-0.03838
25.47726	-0.03484
25.53935	-0.03806
25.60144	-0.04112
25.66353	-0.03758
25.74631	-0.03516
25.81875	-0.03822
25.90153	-0.03854
25.97397	-0.03419
26.03606	-0.03919
26.10850	-0.03951
26.20163	-0.03693
26.30511	-0.03580
26.44999	-0.03951
26.59486	-0.03580
26.72939	-0.03806
26.86392	-0.03468
26.99844	-0.03838
27.10193	-0.03468
27.20541	-0.03822
27.30889	-0.03693
27.39168	-0.03758
27.45376	-0.03564
27.51585	-0.03548
27.58829	-0.03500
27.66073	-0.03452
27.74351	-0.03403
27.82630	-0.03500
27.91943	-0.03419
28.01257	-0.03403
28.09535	-0.03725
28.17814	-0.03580
28.27127	-0.04096
28.36441	-0.03677
28.44719	-0.03822
28.52998	-0.03661
28.59207	-0.03436
28.64381	-0.03629
28.67485	-0.03274
28.68520	-0.03838
28.70590	-0.03580
28.72659	-0.03146
28.75764	-0.03403
28.79903	-0.03403
28.85077	-0.03339
28.90251	-0.03307
28.96460	-0.03709
29.01634	-0.03597
29.06808	-0.03500
29.13017	-0.03500
29.19226	-0.03564
29.23365	-0.03274
29.29574	-0.03387
29.34748	-0.03452
29.40957	-0.03291
29.46131	-0.03307
29.52340	-0.03242
29.59584	-0.03323
29.69932	-0.02920
29.79246	-0.03709
29.86489	-0.03500
29.92698	-0.03403
29.98907	-0.03258
30.04081	-0.03307
