Black Body Radiation Experiment Wed, Oct 19, 2022 11:37 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.02070	-0.05417
0.12418	-0.05626
0.35184	-0.05562
0.52776	-0.05465
0.63124	-0.05433
0.71403	-0.05594
0.77611	-0.05675
0.81751	-0.05739
0.83820	-0.05175
0.83820	-0.05643
0.83820	-0.05353
0.83820	-0.05739
0.83820	-0.05707
0.82786	-0.05626
0.82786	-0.05514
0.82786	-0.05224
0.82786	-0.05401
0.82786	-0.05530
0.82786	-0.05530
0.82786	-0.05562
0.82786	-0.05159
0.82786	-0.05933
0.82786	-0.05256
0.82786	-0.05449
0.82786	-0.05046
0.82786	-0.05610
0.82786	-0.05385
0.82786	-0.05546
0.82786	-0.05433
0.82786	-0.05272
0.82786	-0.05449
0.82786	-0.05868
0.82786	-0.05771
0.82786	-0.05353
0.82786	-0.05530
0.82786	-0.05562
0.82786	-0.05626
0.82786	-0.05788
0.82786	-0.05884
0.82786	-0.05449
0.82786	-0.05481
0.82786	-0.05530
0.82786	-0.05449
0.82786	-0.05836
0.82786	-0.05659
0.82786	-0.05562
0.82786	-0.05739
0.82786	-0.05755
0.82786	-0.05240
0.82786	-0.05481
0.82786	-0.05836
0.82786	-0.05884
0.82786	-0.05433
0.82786	-0.05659
0.83820	-0.05771
0.83820	-0.05771
0.83820	-0.05788
0.83820	-0.05175
0.83820	-0.05546
0.84855	-0.05530
0.84855	-0.05788
0.85890	-0.05498
0.86925	-0.05481
0.88994	-0.05804
0.90029	-0.05997
0.90029	-0.05449
0.90029	-0.05530
0.90029	-0.05643
0.90029	-0.05594
0.90029	-0.05498
0.90029	-0.05433
0.90029	-0.05659
0.90029	-0.05788
0.90029	-0.05771
0.90029	-0.05739
0.90029	-0.05659
0.90029	-0.05191
0.91064	-0.05933
0.92099	-0.05836
0.94169	-0.05723
0.96238	-0.05288
0.97273	-0.05643
0.97273	-0.05562
0.97273	-0.05868
0.97273	-0.05965
0.97273	-0.05449
0.97273	-0.05433
0.97273	-0.05788
0.97273	-0.05755
0.97273	-0.05288
0.98308	-0.05594
0.98308	-0.05143
0.98308	-0.05578
0.98308	-0.05659
1.00378	-0.05530
1.01412	-0.05369
1.03482	-0.05643
1.06586	-0.05514
1.08656	-0.05884
1.10726	-0.05771
1.11761	-0.05820
1.14865	-0.05594
1.16935	-0.05530
1.19004	-0.05643
1.22109	-0.06061
1.24178	-0.05675
1.27283	-0.05336
1.29352	-0.05449
1.31422	-0.06013
1.34527	-0.05514
1.37631	-0.05433
1.40735	-0.05691
1.43840	-0.05707
1.46944	-0.05481
1.51084	-0.05546
1.54188	-0.05578
1.56258	-0.05481
1.59362	-0.05546
1.62467	-0.05369
1.65571	-0.05610
1.67641	-0.05514
1.69710	-0.05626
1.71780	-0.05965
1.73850	-0.05691
1.75919	-0.05562
1.79024	-0.05562
1.82128	-0.05498
1.84198	-0.05755
1.87302	-0.05691
1.89372	-0.05385
1.92476	-0.05836
1.94546	-0.05578
1.97651	-0.05933
2.01790	-0.05369
2.04894	-0.05369
2.06964	-0.05643
2.10068	-0.05449
2.14208	-0.05481
2.17312	-0.05385
2.21451	-0.05852
2.24556	-0.05385
2.29730	-0.05594
2.33869	-0.05675
2.39043	-0.05836
2.45252	-0.05900
2.51461	-0.05514
2.57670	-0.05546
