Black Body Radiation Experiment Wed, Oct 19, 2022 11:37 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.06432
0.00000	-0.06657
0.00000	-0.06512
0.00000	-0.06416
0.00000	-0.06432
0.00000	-0.06609
0.00000	-0.06335
0.00000	-0.06480
0.00000	-0.06674
0.00000	-0.06351
0.00000	-0.06593
0.00000	-0.06384
0.00000	-0.06174
0.00000	-0.06384
0.00000	-0.06754
0.00000	-0.06335
0.00000	-0.06319
0.00000	-0.06577
0.00000	-0.06367
0.00000	-0.06367
0.00000	-0.06770
0.00000	-0.06045
0.00000	-0.06158
0.00000	-0.06593
0.00000	-0.06400
0.00000	-0.06271
0.00000	-0.06416
0.00000	-0.06512
0.00000	-0.06512
0.00000	-0.06593
0.00000	-0.06448
0.00000	-0.06287
0.00000	-0.06448
0.00000	-0.06319
0.00000	-0.06142
0.00000	-0.06255
0.00000	-0.06722
0.00000	-0.06158
0.00000	-0.06416
0.00000	-0.06255
0.00000	-0.06512
0.00000	-0.05997
0.00000	-0.06577
0.00000	-0.06496
0.00000	-0.06400
0.00000	-0.06271
0.00000	-0.06545
0.00000	-0.06657
0.00000	-0.06126
0.00000	-0.06158
0.00000	-0.06529
0.00000	-0.06271
0.00000	-0.06142
0.00000	-0.06351
0.00000	-0.05949
0.00000	-0.06174
0.00000	-0.06480
0.00000	-0.06609
0.00000	-0.06029
0.00000	-0.05820
0.00000	-0.06271
0.00000	-0.06287
0.00000	-0.06351
0.00000	-0.05820
0.00000	-0.06593
0.00000	-0.06384
0.00000	-0.06512
0.00000	-0.06174
0.00000	-0.06239
0.00000	-0.05997
0.02070	-0.06126
0.03104	-0.06206
0.05174	-0.06158
0.06209	-0.06126
0.09313	-0.06110
0.12418	-0.06271
0.15522	-0.06335
0.18627	-0.06464
0.23801	-0.06577
0.26905	-0.06384
0.31045	-0.06335
0.37254	-0.06110
0.42428	-0.06077
0.50706	-0.06190
0.56915	-0.05868
0.64159	-0.05852
0.72437	-0.06464
0.78646	-0.06110
0.85890	-0.06174
0.93134	-0.06174
1.01412	-0.05981
1.06586	-0.05997
1.13830	-0.06512
1.21074	-0.06061
1.29352	-0.06094
1.35561	-0.06271
1.42805	-0.05949
1.50049	-0.05900
1.58327	-0.05916
1.66606	-0.06255
1.73850	-0.06077
1.82128	-0.06545
1.91442	-0.06561
1.99720	-0.05997
2.07999	-0.06287
2.17312	-0.06255
2.26625	-0.06448
2.36974	-0.05965
2.47322	-0.06158
2.57670	-0.06271
2.66983	-0.06625
2.76297	-0.06094
2.88715	-0.05981
3.00098	-0.06142
3.08376	-0.05900
3.18724	-0.05933
3.29073	-0.05820
3.39421	-0.06206
3.49769	-0.05997
3.60117	-0.05997
3.69431	-0.05755
3.76674	-0.05723
3.87023	-0.06013
3.97371	-0.05997
4.04614	-0.05916
4.12893	-0.06303
4.20137	-0.05788
4.28415	-0.05997
4.36694	-0.05981
4.46007	-0.05788
4.54286	-0.06077
4.64634	-0.05997
4.72913	-0.06126
4.82226	-0.06094
4.92574	-0.05981
5.00853	-0.05771
5.11201	-0.05949
5.20514	-0.06206
5.28793	-0.06480
5.39141	-0.05900
5.49489	-0.05981
5.59837	-0.05852
5.69151	-0.05965
5.78464	-0.05949
5.87778	-0.05739
5.96056	-0.06690
6.04335	-0.05562
6.12613	-0.05852
6.25031	-0.05820
6.31240	-0.05836
6.40553	-0.05900
6.48832	-0.05949
6.56076	-0.05771
6.64354	-0.05916
6.71598	-0.05804
6.78842	-0.05868
6.86085	-0.06045
6.94364	-0.05739
7.01608	-0.05868
7.09886	-0.05900
7.16095	-0.06174
7.23339	-0.06013
7.29548	-0.06384
7.34722	-0.06142
7.40931	-0.05820
7.46105	-0.05594
7.51279	-0.06013
7.55418	-0.06013
7.60592	-0.05884
7.63697	-0.05820
7.66801	-0.05997
7.70941	-0.05804
7.74045	-0.05852
7.78184	-0.05675
7.82324	-0.05997
7.86463	-0.05916
7.90602	-0.05900
7.93707	-0.05755
7.99916	-0.05723
8.05090	-0.06013
8.11299	-0.05868
8.18542	-0.06126
8.24751	-0.05949
8.31995	-0.06271
8.38204	-0.06013
8.44413	-0.06110
8.50622	-0.06142
8.56831	-0.05965
8.62005	-0.06142
8.66144	-0.05933
8.70283	-0.05981
8.74423	-0.05884
8.78562	-0.06384
8.80631	-0.06045
8.83736	-0.05868
8.85806	-0.06110
8.87875	-0.06287
8.90980	-0.06110
8.93049	-0.06158
8.95119	-0.05997
8.98223	-0.06045
9.00293	-0.06174
9.03398	-0.05820
9.06502	-0.05981
9.10641	-0.05884
9.15815	-0.06335
9.19955	-0.05514
9.26164	-0.05546
9.34442	-0.05852
9.39616	-0.05771
9.44790	-0.05868
9.49964	-0.05981
9.57208	-0.06077
9.63417	-0.06013
9.70661	-0.06061
9.76870	-0.05997
9.83079	-0.05755
9.89288	-0.05884
9.95496	-0.05900
10.01705	-0.05514
10.06879	-0.05820
10.13088	-0.06126
10.19297	-0.05804
10.24471	-0.05949
10.30680	-0.05868
10.36889	-0.06045
10.43098	-0.05771
10.50342	-0.05675
10.56551	-0.06126
10.62760	-0.06126
10.70003	-0.05723
10.75178	-0.05981
10.81386	-0.05852
10.86561	-0.06077
10.91735	-0.06013
10.95874	-0.05578
11.00013	-0.05949
11.04153	-0.05755
11.09327	-0.05771
11.13466	-0.05659
11.17605	-0.05836
11.21744	-0.05514
11.26919	-0.05755
11.31058	-0.06094
11.34162	-0.05739
11.38302	-0.05804
11.43476	-0.06239
11.48650	-0.05965
11.54859	-0.06158
11.61068	-0.05578
11.67277	-0.06061
11.74520	-0.05626
11.82799	-0.05578
11.90043	-0.06239
11.96251	-0.05707
12.03495	-0.05820
12.09704	-0.06158
12.16948	-0.06077
12.23157	-0.06077
12.29366	-0.05836
12.35575	-0.05933
12.42818	-0.05836
12.50062	-0.05739
12.58341	-0.05965
12.66619	-0.05868
12.73863	-0.05771
12.82141	-0.05562
12.90420	-0.06061
12.97664	-0.05804
13.04908	-0.05949
13.13186	-0.05385
13.20430	-0.05707
13.30778	-0.05691
13.38022	-0.05675
13.45265	-0.06094
13.51474	-0.05852
13.57683	-0.05723
13.63892	-0.06094
13.69066	-0.06094
13.74240	-0.05981
13.77345	-0.06142
13.81484	-0.05594
13.84589	-0.05707
13.87693	-0.05675
13.90798	-0.05530
13.93902	-0.05965
13.95972	-0.05578
13.99076	-0.05626
14.01146	-0.05465
14.04250	-0.05675
14.07355	-0.05965
14.11494	-0.05594
14.15633	-0.05755
14.19773	-0.05707
14.23912	-0.06142
14.28051	-0.05997
14.31156	-0.05530
14.35295	-0.05868
14.38399	-0.05626
14.41504	-0.05916
14.44608	-0.06045
14.46678	-0.05981
14.49782	-0.05804
14.52887	-0.05884
14.55991	-0.05771
14.58061	-0.05578
14.61165	-0.05739
14.63235	-0.05900
14.65305	-0.06432
14.67374	-0.05530
14.70479	-0.05675
14.73583	-0.06029
14.76688	-0.05530
14.79792	-0.05981
14.82897	-0.05820
14.87036	-0.05530
14.90140	-0.05175
14.94280	-0.05498
14.99454	-0.05997
15.04628	-0.05481
15.08767	-0.05578
15.12906	-0.05546
15.18080	-0.05755
15.23254	-0.05433
15.27394	-0.05594
15.31533	-0.05771
15.36707	-0.05546
15.41881	-0.06094
15.47055	-0.05965
15.52229	-0.05449
15.58438	-0.05159
15.63612	-0.05675
15.69821	-0.05643
15.76030	-0.05626
15.81204	-0.05659
15.86378	-0.05707
15.90518	-0.05401
15.95692	-0.05449
16.00866	-0.05933
16.05005	-0.05804
16.10179	-0.05433
16.14319	-0.05723
16.17423	-0.05852
16.21562	-0.05578
16.25702	-0.05401
16.30876	-0.05643
16.33980	-0.05175
16.38119	-0.05530
16.42259	-0.05755
16.46398	-0.05481
16.49502	-0.05643
16.53642	-0.05288
16.57781	-0.05788
16.60885	-0.05868
16.65025	-0.05514
16.68129	-0.05755
16.71234	-0.05771
16.74338	-0.05965
16.77443	-0.05465
16.81582	-0.05755
16.84686	-0.05643
16.89860	-0.05804
16.94000	-0.05449
16.99174	-0.05820
17.03313	-0.05707
17.07452	-0.05820
17.09522	-0.05675
17.12626	-0.05063
17.16766	-0.05320
17.19870	-0.05481
17.21940	-0.05063
17.22975	-0.05320
17.25044	-0.05465
17.26079	-0.05594
17.26079	-0.05401
17.28149	-0.05353
17.28149	-0.05820
17.29184	-0.05449
17.30218	-0.05481
17.32288	-0.05546
17.33323	-0.05562
17.35392	-0.05127
17.37462	-0.04998
17.39532	-0.05643
17.43671	-0.05417
17.47810	-0.05288
17.51950	-0.05594
17.56089	-0.05626
17.60228	-0.05175
17.63333	-0.05626
17.68507	-0.05175
17.71611	-0.05514
17.75750	-0.05385
17.78855	-0.05353
17.81959	-0.05256
17.85064	-0.05369
17.87133	-0.05804
17.89203	-0.05288
17.91273	-0.05208
17.94377	-0.05562
17.96447	-0.05546
17.97482	-0.05288
17.99551	-0.05659
18.02656	-0.05498
18.04725	-0.05610
18.06795	-0.05288
18.09899	-0.05433
18.13004	-0.05336
18.16108	-0.05675
18.20248	-0.05739
18.24387	-0.05449
18.28526	-0.05304
18.33700	-0.05691
18.37840	-0.05191
18.43014	-0.05449
18.48188	-0.05191
18.54397	-0.05191
18.59571	-0.05401
18.63710	-0.05159
18.68884	-0.05143
18.73023	-0.05320
18.78198	-0.05498
18.82337	-0.05288
18.87511	-0.05127
18.90615	-0.05256
18.94755	-0.05369
18.98894	-0.05304
19.03033	-0.05079
19.08207	-0.04950
19.13381	-0.05063
19.18556	-0.05465
19.23730	-0.05256
19.27869	-0.05127
19.32008	-0.05127
19.36147	-0.05127
19.40287	-0.04740
19.43391	-0.04998
19.51670	-0.04805
19.55809	-0.04934
19.60983	-0.05336
19.66157	-0.05143
19.71331	-0.04805
19.75471	-0.05095
19.81680	-0.04966
19.87888	-0.04950
19.93063	-0.04579
19.99271	-0.04740
20.08585	-0.04515
20.15829	-0.04386
20.24107	-0.04418
20.34455	-0.04644
20.41699	-0.04515
20.48943	-0.04193
20.56187	-0.04209
20.66535	-0.04144
20.73778	-0.03838
20.81022	-0.03838
20.92405	-0.03742
20.97579	-0.03017
21.05858	-0.03870
21.17241	-0.03146
21.26554	-0.02549
21.37937	-0.02791
21.53460	-0.02356
21.64843	-0.02066
21.77260	-0.01696
21.94852	-0.01148
22.14514	-0.01019
22.25897	-0.00552
22.35210	-0.00552
22.47628	-0.00391
22.53837	0.00173
22.67290	0.00254
22.76603	-0.00117
22.86951	-0.00391
22.93160	-0.00117
23.01439	-0.00294
23.09717	-0.00616
23.15926	-0.00487
23.24205	-0.01067
23.31449	-0.00810
23.39727	-0.00745
23.49041	-0.01535
23.58354	-0.01212
23.68702	-0.01857
23.78015	-0.02630
23.87329	-0.02404
23.98712	-0.03001
24.09060	-0.02743
24.20443	-0.03194
24.28722	-0.03162
24.38035	-0.03162
24.49418	-0.03307
24.56662	-0.03613
24.65975	-0.03709
24.74254	-0.03661
24.81497	-0.04644
24.89776	-0.04789
25.00124	-0.04467
25.08403	-0.04724
25.14612	-0.04595
25.20821	-0.04998
25.24960	-0.04676
25.28064	-0.04998
25.32204	-0.05014
25.35308	-0.04692
25.37378	-0.04885
25.40482	-0.05046
25.42552	-0.04934
25.44621	-0.04821
25.47726	-0.05143
25.51865	-0.04531
25.54970	-0.05079
25.59109	-0.04724
25.62213	-0.04918
25.65318	-0.04628
25.68422	-0.05014
25.71527	-0.05143
25.74631	-0.05127
25.78770	-0.05111
25.81875	-0.05514
25.86014	-0.05063
25.91188	-0.05240
25.96362	-0.04918
26.03606	-0.04708
26.10850	-0.05433
26.19128	-0.05063
26.27407	-0.04644
26.36720	-0.04998
26.47069	-0.04966
26.57417	-0.05288
26.67765	-0.05014
26.78113	-0.04853
26.89496	-0.05111
27.00879	-0.04644
27.11227	-0.05191
27.21576	-0.05079
27.29854	-0.04901
27.39168	-0.04966
27.49516	-0.04821
27.57794	-0.04934
27.66073	-0.04869
27.74351	-0.05175
27.82630	-0.04918
27.92978	-0.04692
28.02292	-0.04805
28.12640	-0.04418
28.24023	-0.04644
28.35406	-0.04676
28.45754	-0.04676
28.57137	-0.04901
28.64381	-0.04950
28.76799	-0.04805
28.86112	-0.04450
28.95425	-0.05111
29.04739	-0.04934
29.14052	-0.05014
29.25435	-0.04821
29.34748	-0.04982
29.45097	-0.04660
29.55445	-0.05143
29.65793	-0.04821
29.75106	-0.04934
29.84420	-0.04595
29.95803	-0.04982
30.07186	-0.04837
