Black Body Radiation Experiment Wed, Oct 19, 2022 11:34 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.05111
0.00000	-0.05304
0.00000	-0.04950
0.00000	-0.05127
0.00000	-0.05191
0.00000	-0.05320
0.00000	-0.05063
0.00000	-0.04950
0.00000	-0.05288
0.00000	-0.04885
0.00000	-0.05272
0.00000	-0.05095
0.00000	-0.04773
0.00000	-0.05272
0.00000	-0.04740
0.00000	-0.05417
0.00000	-0.05288
0.00000	-0.04869
0.00000	-0.05046
0.00000	-0.05079
0.00000	-0.05111
0.00000	-0.04918
0.00000	-0.04998
0.00000	-0.04982
0.00000	-0.05111
0.00000	-0.05465
0.00000	-0.05481
0.01035	-0.05159
0.01035	-0.04869
0.02070	-0.05530
0.03104	-0.05449
0.04139	-0.05143
0.06209	-0.05159
0.09313	-0.05175
0.11383	-0.04982
0.13453	-0.05465
0.16557	-0.04950
0.18627	-0.05208
0.21731	-0.05111
0.25870	-0.05191
0.30010	-0.05111
0.35184	-0.04724
0.39323	-0.04869
0.45532	-0.04885
0.50706	-0.05063
0.54845	-0.05143
0.57950	-0.05256
0.61054	-0.04982
0.64159	-0.04805
0.66228	-0.04773
0.68298	-0.04789
0.71403	-0.04934
0.74507	-0.04708
0.77611	-0.04595
0.81751	-0.04789
0.86925	-0.05159
0.91064	-0.04950
0.97273	-0.05095
1.03482	-0.05046
1.11761	-0.04950
1.21074	-0.04998
1.31422	-0.05127
1.41770	-0.04628
1.54188	-0.04885
1.68676	-0.04724
1.83163	-0.04901
1.95581	-0.04692
2.07999	-0.05030
2.17312	-0.04982
2.25591	-0.04595
2.33869	-0.04901
2.44217	-0.05079
2.53531	-0.04789
2.61809	-0.04982
2.69053	-0.04934
2.75262	-0.05095
2.81471	-0.04901
2.88715	-0.04756
2.93889	-0.04628
3.00098	-0.04289
3.05272	-0.04467
3.12516	-0.04434
3.17690	-0.04160
3.22864	-0.04193
3.30107	-0.04692
3.35282	-0.04853
3.40456	-0.04612
3.47699	-0.04853
3.52873	-0.04773
3.60117	-0.04756
3.66326	-0.04547
3.72535	-0.04338
3.77709	-0.04305
3.82883	-0.04579
3.87023	-0.03919
3.92197	-0.04402
3.98406	-0.04531
4.03580	-0.03806
4.07719	-0.04708
4.14963	-0.04450
4.22206	-0.04467
4.29450	-0.04241
4.37729	-0.04434
4.48077	-0.04595
4.57390	-0.03854
4.68773	-0.04160
4.81191	-0.03951
4.94644	-0.03951
5.06027	-0.03806
5.16375	-0.03951
5.28793	-0.03967
5.41211	-0.03854
5.53628	-0.03693
5.68116	-0.04048
5.84673	-0.04257
5.97091	-0.04144
6.09509	-0.04450
6.19857	-0.03854
6.31240	-0.04112
6.40553	-0.04177
6.50902	-0.03951
6.60215	-0.03967
6.70563	-0.04048
6.81946	-0.04692
6.93329	-0.03967
7.02643	-0.04418
7.16095	-0.04064
7.26443	-0.04128
7.36792	-0.03677
7.46105	-0.03838
7.54383	-0.03887
7.64732	-0.04177
7.69906	-0.03822
7.80254	-0.03822
7.87498	-0.03983
7.94741	-0.03774
8.00950	-0.04305
8.06124	-0.04160
8.12333	-0.04032
8.19577	-0.03854
8.26821	-0.03887
8.34065	-0.03983
8.42343	-0.04080
8.49587	-0.04128
8.58900	-0.04128
8.66144	-0.03742
8.71318	-0.04128
8.78562	-0.04177
8.85806	-0.03967
8.94084	-0.03774
9.01328	-0.03580
9.09606	-0.03645
9.19955	-0.03677
9.26164	-0.03597
9.33407	-0.03935
9.38581	-0.04096
9.41686	-0.03645
9.46860	-0.03983
9.54104	-0.03919
9.58243	-0.03468
9.61347	-0.03645
9.65487	-0.03935
9.67556	-0.03758
9.68591	-0.03564
9.70661	-0.03629
9.71696	-0.03436
9.72730	-0.03838
9.74800	-0.03532
9.76870	-0.04128
9.81009	-0.03274
9.85148	-0.03580
9.90322	-0.04112
9.94462	-0.03887
9.97566	-0.03645
10.01705	-0.03484
10.05845	-0.03597
10.09984	-0.03693
10.14123	-0.04032
10.19297	-0.03693
10.23437	-0.04032
10.29646	-0.04128
10.34820	-0.04015
10.43098	-0.03548
10.52412	-0.03468
10.63795	-0.03387
10.74143	-0.04257
10.86561	-0.03403
10.97944	-0.03887
11.10361	-0.03484
11.22779	-0.03693
11.33127	-0.03532
11.42441	-0.03677
11.52789	-0.03790
11.61068	-0.03677
11.68311	-0.03742
11.74520	-0.04064
11.81764	-0.03709
11.87973	-0.03564
11.93147	-0.03436
11.98321	-0.03742
12.01426	-0.03935
12.05565	-0.03580
12.08669	-0.03967
12.11774	-0.03597
12.13843	-0.04209
12.16948	-0.03983
12.20052	-0.03548
12.23157	-0.03661
12.25226	-0.03693
12.27296	-0.03677
12.29366	-0.03403
12.32470	-0.04015
12.34540	-0.04015
12.38679	-0.03564
12.40749	-0.03661
12.44888	-0.03790
12.49027	-0.03838
12.53167	-0.03613
12.57306	-0.03967
12.61445	-0.03500
12.65584	-0.03629
12.70758	-0.03629
12.73863	-0.03371
12.78002	-0.03597
12.82141	-0.03758
12.85246	-0.03774
12.89385	-0.03854
12.91455	-0.03806
12.94559	-0.03564
