Black Body Radiation Experiment Wed, Oct 19, 2022 11:36 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.04499
0.00000	-0.04354
0.00000	-0.04386
0.00000	-0.04032
0.00000	-0.04225
0.00000	-0.04612
0.00000	-0.04612
0.00000	-0.04112
0.00000	-0.04434
0.00000	-0.04080
0.00000	-0.04402
0.00000	-0.04209
0.00000	-0.04499
0.00000	-0.04579
0.00000	-0.04628
0.00000	-0.04515
0.00000	-0.04918
0.00000	-0.04434
0.00000	-0.04128
0.00000	-0.04628
0.00000	-0.04418
0.00000	-0.04289
0.00000	-0.04418
0.00000	-0.04966
0.00000	-0.04322
0.00000	-0.04628
0.00000	-0.04531
0.00000	-0.04885
0.00000	-0.04547
0.00000	-0.04450
0.00000	-0.04612
0.00000	-0.04869
0.00000	-0.04386
0.00000	-0.04708
0.00000	-0.04338
0.00000	-0.04660
0.00000	-0.04418
0.00000	-0.04370
0.00000	-0.05127
0.00000	-0.04434
0.00000	-0.04644
0.00000	-0.04160
0.00000	-0.04612
0.00000	-0.04112
0.00000	-0.04144
0.00000	-0.04773
0.00000	-0.04547
0.00000	-0.04483
0.00000	-0.04064
0.00000	-0.04483
0.00000	-0.04708
0.00000	-0.04370
0.00000	-0.04354
0.00000	-0.04144
0.00000	-0.04660
0.00000	-0.04402
0.00000	-0.04096
0.00000	-0.04015
0.00000	-0.04595
0.00000	-0.04209
0.00000	-0.03935
0.00000	-0.04193
0.00000	-0.04273
0.00000	-0.04595
0.00000	-0.03983
0.00000	-0.04563
0.00000	-0.04467
0.00000	-0.04547
0.00000	-0.04032
0.00000	-0.04032
0.00000	-0.04338
0.00000	-0.04386
0.00000	-0.04789
0.00000	-0.04354
0.00000	-0.03967
0.00000	-0.04112
0.00000	-0.04225
0.00000	-0.04080
0.00000	-0.04531
0.00000	-0.03951
0.00000	-0.03903
0.00000	-0.04338
0.00000	-0.04257
0.00000	-0.04692
0.00000	-0.03887
0.00000	-0.04402
0.00000	-0.04515
0.00000	-0.04370
0.00000	-0.04499
0.00000	-0.04354
0.00000	-0.04483
0.00000	-0.04612
0.00000	-0.04563
0.00000	-0.04338
0.00000	-0.04193
0.00000	-0.04225
0.00000	-0.04467
0.00000	-0.03806
0.00000	-0.04483
0.00000	-0.04177
0.00000	-0.04386
0.00000	-0.04918
0.00000	-0.04305
0.00000	-0.04386
0.00000	-0.04563
0.01035	-0.04064
0.02070	-0.04096
0.02070	-0.04354
0.02070	-0.04305
0.02070	-0.04354
0.02070	-0.04386
0.02070	-0.04225
0.03104	-0.04628
0.04139	-0.04644
0.07244	-0.04531
0.11383	-0.04676
0.13453	-0.04692
0.15522	-0.04450
0.16557	-0.04708
0.18627	-0.04434
0.20696	-0.04209
0.22766	-0.04193
0.26905	-0.04289
0.31045	-0.04515
0.34149	-0.04418
0.39323	-0.04080
0.45532	-0.04612
0.51741	-0.04386
0.61054	-0.04386
0.70368	-0.04080
0.76577	-0.04499
0.86925	-0.04483
0.98308	-0.04160
1.07621	-0.04467
1.17969	-0.04096
1.29352	-0.04338
1.38666	-0.04080
1.47979	-0.03983
1.58327	-0.04225
1.68676	-0.04402
1.80059	-0.04483
1.90407	-0.04193
2.03859	-0.04193
2.14208	-0.04305
2.23521	-0.04064
2.32834	-0.04354
2.43183	-0.03919
2.54566	-0.03983
2.64914	-0.04144
2.75262	-0.04338
2.86645	-0.04531
2.98028	-0.03999
3.09411	-0.04402
3.20794	-0.04354
3.34247	-0.04676
3.46665	-0.04338
3.59082	-0.04177
3.72535	-0.04692
3.85988	-0.04579
3.98406	-0.04499
4.09789	-0.04885
4.20137	-0.04612
4.29450	-0.04096
4.36694	-0.04821
4.43938	-0.04563
4.50147	-0.03790
4.55321	-0.04209
4.62564	-0.04612
4.66704	-0.04370
4.72913	-0.04499
4.79121	-0.04724
4.85330	-0.04322
4.91539	-0.04531
4.96713	-0.04289
5.02922	-0.03919
5.10166	-0.04096
5.18445	-0.04322
5.29828	-0.04418
5.40176	-0.04418
5.51559	-0.03822
5.60872	-0.03790
5.74325	-0.03725
5.85708	-0.04402
6.02265	-0.04080
6.12613	-0.04193
6.21927	-0.04370
6.32275	-0.04547
6.40553	-0.04434
6.48832	-0.04434
6.57110	-0.04015
6.63319	-0.04048
6.70563	-0.03774
6.78842	-0.03967
6.88155	-0.04160
6.97468	-0.03999
7.04712	-0.04241
7.12991	-0.04467
7.22304	-0.04177
7.32652	-0.03983
7.40931	-0.04563
7.48175	-0.03854
7.55418	-0.04096
7.62662	-0.04096
7.69906	-0.03935
7.75080	-0.04209
7.82324	-0.04193
7.89567	-0.04048
7.96811	-0.04386
8.03020	-0.04402
8.10264	-0.03983
8.17507	-0.04370
8.23716	-0.04531
8.30960	-0.04531
8.36134	-0.04080
8.41308	-0.04289
8.47517	-0.04015
8.53726	-0.03887
8.59935	-0.03935
8.65109	-0.03951
8.68214	-0.04177
8.72353	-0.04241
8.74423	-0.04209
8.77527	-0.04128
8.79597	-0.03774
8.81666	-0.03870
8.82701	-0.04193
8.83736	-0.04209
8.86840	-0.04209
8.88910	-0.04225
8.92015	-0.04096
8.97189	-0.04612
9.04432	-0.03967
9.12711	-0.04225
9.23059	-0.04241
9.32372	-0.04579
9.42721	-0.03822
9.50999	-0.04499
9.58243	-0.03613
9.66522	-0.04048
9.75835	-0.04096
9.81009	-0.03822
9.85148	-0.04354
9.87218	-0.03854
9.90322	-0.04354
9.92392	-0.03951
9.93427	-0.03887
9.93427	-0.04386
9.94462	-0.04499
9.95496	-0.03999
9.97566	-0.04144
9.99636	-0.04064
10.01705	-0.03887
10.02740	-0.03870
10.05845	-0.03935
10.08949	-0.03887
10.12054	-0.04080
10.16193	-0.04112
10.19297	-0.04064
10.23437	-0.04112
10.26541	-0.04064
10.29646	-0.03967
10.33785	-0.04370
10.37924	-0.03758
10.41029	-0.04032
10.44133	-0.04386
10.47237	-0.03854
10.49307	-0.04322
10.52412	-0.03935
10.55516	-0.04515
10.58620	-0.04241
10.63795	-0.03806
10.67934	-0.04032
10.73108	-0.04241
10.77247	-0.04064
10.81386	-0.03758
10.86561	-0.03870
10.93804	-0.03806
11.01048	-0.03580
11.07257	-0.03999
11.16570	-0.04015
11.21744	-0.03854
11.25884	-0.03983
11.32093	-0.04064
11.36232	-0.04515
11.40371	-0.04370
11.43476	-0.04032
11.46580	-0.04177
11.48650	-0.03903
11.51754	-0.03693
11.53824	-0.03758
11.56928	-0.03725
11.60033	-0.03854
11.64172	-0.03983
11.68311	-0.04080
11.72451	-0.03838
11.76590	-0.04338
11.81764	-0.04756
11.87973	-0.04144
11.93147	-0.04080
11.98321	-0.04563
12.03495	-0.04322
12.09704	-0.03758
12.13843	-0.04289
12.19018	-0.03999
12.24192	-0.03613
12.28331	-0.03854
12.33505	-0.04354
12.38679	-0.03661
12.45923	-0.04289
12.51097	-0.04015
12.57306	-0.04128
12.63515	-0.04225
12.69724	-0.03999
12.74898	-0.03983
12.82141	-0.04225
12.88350	-0.04160
12.94559	-0.04064
13.00768	-0.03742
13.05942	-0.03983
13.12151	-0.04112
13.18360	-0.03822
13.25604	-0.04354
13.32848	-0.03677
13.39057	-0.04096
13.44231	-0.03790
13.51474	-0.03935
13.58718	-0.04048
13.64927	-0.03468
13.71136	-0.04048
13.78380	-0.03951
13.85623	-0.03742
13.91832	-0.03774
13.99076	-0.04257
14.05285	-0.04048
14.13564	-0.04015
14.19773	-0.03838
14.27016	-0.03967
14.33225	-0.03983
14.39434	-0.03983
14.46678	-0.03903
14.50817	-0.04048
14.58061	-0.04144
14.64270	-0.04177
14.69444	-0.03838
14.73583	-0.03806
14.77722	-0.03935
14.80827	-0.03999
14.82897	-0.03999
14.83931	-0.03725
14.83931	-0.04144
14.83931	-0.04177
14.86001	-0.03693
14.88071	-0.03371
14.91175	-0.03935
14.92210	-0.03516
14.92210	-0.03742
14.94280	-0.03951
14.96349	-0.03887
14.98419	-0.04112
15.00488	-0.03854
15.03593	-0.03742
15.07732	-0.03951
15.12906	-0.04144
15.17046	-0.03629
15.20150	-0.03854
15.23254	-0.04160
15.26359	-0.03725
15.29463	-0.03677
15.33603	-0.03806
15.36707	-0.04032
15.40846	-0.03806
15.43951	-0.03887
15.47055	-0.04160
15.50160	-0.03935
15.54299	-0.04305
15.57404	-0.03951
15.60508	-0.04225
15.64647	-0.04064
15.69821	-0.03645
15.76030	-0.04015
15.83274	-0.03452
15.90518	-0.04032
15.97761	-0.03693
16.05005	-0.03774
16.14319	-0.03693
16.23632	-0.03951
16.32945	-0.03967
16.42259	-0.04048
16.50537	-0.04612
16.57781	-0.03838
16.63990	-0.04048
16.70199	-0.03790
16.74338	-0.03806
16.78477	-0.03436
16.81582	-0.03564
16.85721	-0.04144
16.87791	-0.04048
16.90895	-0.03693
16.92965	-0.03935
16.95035	-0.03580
16.97104	-0.03758
16.98139	-0.04064
17.00209	-0.03613
17.01243	-0.04064
17.03313	-0.03709
17.04348	-0.03645
17.05383	-0.03919
17.08487	-0.03452
17.11592	-0.03468
17.14696	-0.04225
17.18835	-0.03693
17.21940	-0.03645
17.26079	-0.03951
17.29184	-0.03468
17.33323	-0.03291
17.37462	-0.03629
17.41601	-0.03597
17.43671	-0.03887
17.45741	-0.03854
17.47810	-0.03500
17.49880	-0.03468
17.50915	-0.03387
17.51950	-0.03580
17.54019	-0.03822
17.56089	-0.03725
17.59193	-0.04193
17.61263	-0.03597
17.64367	-0.03580
17.66437	-0.03967
17.69542	-0.03838
17.72646	-0.03725
17.75750	-0.03742
17.80925	-0.03870
17.86099	-0.03870
17.91273	-0.03355
17.96447	-0.03613
18.01621	-0.03371
18.05760	-0.03371
18.10934	-0.02968
18.15074	-0.03951
18.21283	-0.03033
18.25422	-0.03081
18.27491	-0.03274
18.30596	-0.03403
18.33700	-0.02984
18.36805	-0.03274
18.39909	-0.03242
18.43014	-0.03178
18.47153	-0.03742
18.50257	-0.03146
18.54397	-0.03339
18.58536	-0.03468
18.62675	-0.03419
18.67849	-0.03693
18.74058	-0.03387
18.81302	-0.03371
18.87511	-0.03403
18.94755	-0.03597
19.03033	-0.03291
19.11312	-0.03162
