Black Body Radiation Experiment Wed, Oct 19, 2022 11:27 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.05320
-0.01035	-0.05143
-0.02070	-0.05449
-0.02070	-0.05320
-0.02070	-0.05353
-0.02070	-0.05288
-0.02070	-0.05288
-0.02070	-0.05465
-0.02070	-0.05771
-0.02070	-0.05304
-0.02070	-0.04756
-0.02070	-0.05449
-0.02070	-0.05385
-0.02070	-0.05514
-0.02070	-0.05320
-0.03104	-0.05240
-0.03104	-0.05433
-0.03104	-0.05498
-0.03104	-0.05288
-0.03104	-0.05610
-0.03104	-0.05224
-0.03104	-0.05046
-0.03104	-0.05369
-0.03104	-0.05191
-0.03104	-0.05401
-0.03104	-0.05208
-0.03104	-0.05546
-0.03104	-0.05224
-0.03104	-0.05191
-0.03104	-0.05224
-0.03104	-0.05385
-0.03104	-0.05449
-0.03104	-0.05191
-0.03104	-0.05820
-0.03104	-0.05449
-0.03104	-0.05288
-0.03104	-0.05095
-0.03104	-0.05594
-0.03104	-0.05546
-0.03104	-0.05481
-0.03104	-0.05336
-0.03104	-0.04821
-0.03104	-0.05208
-0.03104	-0.05546
-0.03104	-0.05240
-0.03104	-0.05304
-0.03104	-0.05385
-0.03104	-0.05127
-0.03104	-0.05143
-0.03104	-0.05353
-0.03104	-0.05143
-0.03104	-0.05481
-0.03104	-0.05626
-0.03104	-0.05014
-0.03104	-0.05336
-0.03104	-0.05046
-0.03104	-0.05224
-0.02070	-0.05353
-0.02070	-0.05079
-0.01035	-0.05046
0.00000	-0.04982
0.02070	-0.05175
0.02070	-0.05433
0.02070	-0.05610
0.03104	-0.05304
0.10348	-0.05175
0.14487	-0.05095
0.23801	-0.05159
0.32079	-0.04595
0.44497	-0.05191
0.60020	-0.05046
0.70368	-0.05385
0.81751	-0.04901
0.94169	-0.05030
1.04517	-0.05030
1.14865	-0.04531
1.21074	-0.05014
1.32457	-0.04966
1.38666	-0.04998
1.42805	-0.05191
1.49014	-0.05272
1.55223	-0.04644
1.61432	-0.04934
1.67641	-0.04853
1.74885	-0.04789
1.82128	-0.05288
1.90407	-0.04595
1.98685	-0.04837
2.06964	-0.04821
2.15242	-0.05191
2.25591	-0.04918
2.35939	-0.04853
2.44217	-0.04724
2.51461	-0.04756
2.60775	-0.05208
2.71123	-0.04708
2.81471	-0.05224
2.92854	-0.05256
3.02167	-0.05288
3.10446	-0.05095
3.16655	-0.04934
3.22864	-0.04901
3.29073	-0.05030
3.35282	-0.05063
3.41490	-0.05175
3.46665	-0.04966
3.51839	-0.04901
3.57013	-0.04692
3.63222	-0.04579
3.69431	-0.05143
3.75640	-0.04853
3.81848	-0.04547
3.89092	-0.05127
3.95301	-0.04756
4.03580	-0.04676
4.11858	-0.04982
4.21172	-0.04966
4.31520	-0.04869
4.40833	-0.04934
4.51181	-0.04773
4.60495	-0.04869
4.68773	-0.05014
4.73947	-0.04966
4.76017	-0.04370
4.76017	-0.04805
4.76017	-0.04660
4.74982	-0.05304
4.73947	-0.04644
4.73947	-0.05030
4.73947	-0.04740
4.73947	-0.04676
4.74982	-0.04322
4.76017	-0.05063
4.80156	-0.04225
4.83261	-0.04434
4.90504	-0.04595
4.96713	-0.04644
5.03957	-0.04531
5.10166	-0.04128
