Black Body Radiation Experiment Wed, Oct 19, 2022 11:12 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.06400
0.00000	-0.06625
0.00000	-0.06802
0.00000	-0.06641
0.00000	-0.06432
0.00000	-0.06770
0.00000	-0.07044
0.00000	-0.06915
0.00000	-0.06480
0.00000	-0.06980
0.00000	-0.06819
0.00000	-0.06867
0.00000	-0.06931
0.00000	-0.06674
0.00000	-0.06641
0.00000	-0.06577
0.00000	-0.06738
0.00000	-0.06593
0.00000	-0.06561
0.00000	-0.06883
0.00000	-0.06432
0.00000	-0.06754
0.00000	-0.06625
0.00000	-0.06561
0.00000	-0.06722
0.00000	-0.06931
0.00000	-0.06512
0.00000	-0.06432
0.00000	-0.06738
0.00000	-0.06722
0.00000	-0.06657
0.00000	-0.06577
0.00000	-0.06448
0.00000	-0.06480
0.00000	-0.06915
0.00000	-0.06512
0.00000	-0.06367
0.00000	-0.06706
0.00000	-0.06802
0.02070	-0.06609
0.02070	-0.06496
0.02070	-0.06480
0.03104	-0.06190
0.03104	-0.07012
0.03104	-0.06190
0.03104	-0.06593
0.03104	-0.06577
0.03104	-0.06593
0.03104	-0.06480
0.03104	-0.06448
0.06209	-0.06335
0.06209	-0.06964
0.07244	-0.06706
0.10348	-0.06754
0.13453	-0.06464
0.17592	-0.06867
0.21731	-0.06657
0.25870	-0.06996
0.28975	-0.06722
0.31045	-0.06593
0.32079	-0.06625
0.32079	-0.06915
0.32079	-0.06464
0.32079	-0.06738
0.32079	-0.06722
0.32079	-0.06931
0.32079	-0.06867
0.32079	-0.06641
0.32079	-0.06464
0.33114	-0.06529
0.33114	-0.06931
0.35184	-0.06271
0.36219	-0.06110
0.38288	-0.06722
0.42428	-0.06722
0.46567	-0.06432
0.50706	-0.06738
0.54845	-0.06867
0.58985	-0.06512
0.64159	-0.06786
0.66228	-0.06915
0.69333	-0.06931
0.71403	-0.06802
0.73472	-0.07028
0.75542	-0.06480
0.78646	-0.06593
0.82786	-0.06351
0.86925	-0.06448
0.91064	-0.06351
0.97273	-0.06529
1.03482	-0.06142
1.08656	-0.06657
1.14865	-0.07028
1.20039	-0.06867
1.26248	-0.06947
1.32457	-0.07060
1.39701	-0.07076
1.47979	-0.06738
1.53153	-0.06931
1.57293	-0.06432
1.63501	-0.06448
1.68676	-0.06883
1.71780	-0.06545
1.75919	-0.06496
1.81093	-0.06464
1.87302	-0.06770
1.92476	-0.06786
1.98685	-0.06641
2.04894	-0.06561
2.11103	-0.06625
2.17312	-0.06512
2.22486	-0.06529
2.29730	-0.07012
2.35939	-0.06899
2.42148	-0.06432
2.49392	-0.06577
2.56635	-0.06593
2.62844	-0.07125
2.70088	-0.06706
2.80436	-0.07076
2.87680	-0.06996
2.95958	-0.06674
3.02167	-0.06754
3.09411	-0.06657
3.16655	-0.06722
3.23899	-0.06222
3.29073	-0.06947
3.36316	-0.06512
3.41490	-0.06786
3.48734	-0.06529
3.53908	-0.06512
3.61152	-0.06432
3.67361	-0.06802
3.72535	-0.06271
3.78744	-0.06657
3.84953	-0.06480
3.92197	-0.06287
3.98406	-0.07028
4.04614	-0.06996
4.10823	-0.06319
4.18067	-0.06641
4.24276	-0.06722
4.29450	-0.06303
4.33589	-0.06561
4.35659	-0.06625
4.37729	-0.06802
4.37729	-0.06706
4.38764	-0.06674
4.39798	-0.06674
4.41868	-0.06690
4.43938	-0.06641
4.47042	-0.06657
4.50147	-0.06480
4.52216	-0.06947
4.55321	-0.06657
4.57390	-0.06706
4.63599	-0.06722
4.68773	-0.06802
4.74982	-0.06593
4.81191	-0.06384
4.88435	-0.06786
4.94644	-0.06464
4.99818	-0.07237
5.06027	-0.06738
5.17410	-0.06819
5.21549	-0.06255
5.24654	-0.06931
5.30862	-0.06593
5.39141	-0.06625
5.44315	-0.06899
5.45350	-0.06754
5.45350	-0.06980
5.46385	-0.06851
5.50524	-0.06400
5.51559	-0.06609
5.56733	-0.06545
5.61907	-0.06802
5.70186	-0.06947
5.80534	-0.06512
5.91917	-0.06851
6.04335	-0.06529
6.14683	-0.06190
6.23996	-0.06496
6.34344	-0.06786
6.43658	-0.06480
6.52971	-0.06545
6.60215	-0.06996
6.67459	-0.06641
6.70563	-0.06931
6.76772	-0.06835
6.79876	-0.06786
6.82981	-0.07173
6.86085	-0.06496
6.88155	-0.06802
6.91259	-0.06464
6.92294	-0.06770
6.92294	-0.06690
6.92294	-0.06641
6.92294	-0.06190
6.95399	-0.06577
6.99538	-0.06641
7.03677	-0.06496
7.07817	-0.06287
7.11956	-0.06786
7.16095	-0.06625
7.21269	-0.06641
7.26443	-0.06657
7.33687	-0.06980
7.40931	-0.06883
