Black Body Radiation Experiment Wed, Oct 19, 2022 11:13 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.09461
0.00000	-0.09493
0.00000	-0.09332
0.00000	-0.09734
0.00000	-0.09428
0.00000	-0.09332
0.00000	-0.09171
0.00000	-0.09009
0.00000	-0.09299
0.00000	-0.09171
0.00000	-0.09477
0.00000	-0.09171
0.00000	-0.09090
0.00000	-0.09251
0.00000	-0.09364
0.00000	-0.09235
0.00000	-0.09734
0.00000	-0.09138
0.00000	-0.09122
0.00000	-0.09316
0.00000	-0.09074
0.00000	-0.09589
0.00000	-0.09074
0.00000	-0.09606
0.00000	-0.09203
0.00000	-0.08881
0.00000	-0.09509
0.00000	-0.09428
0.00000	-0.09573
0.00000	-0.09203
0.00000	-0.09332
0.00000	-0.09573
0.00000	-0.09187
0.00000	-0.09606
0.00000	-0.09316
0.00000	-0.09251
0.00000	-0.09751
0.00000	-0.09364
0.00000	-0.09299
0.03104	-0.09154
0.06209	-0.09219
0.11383	-0.09444
0.15522	-0.09316
0.19662	-0.09493
0.23801	-0.09267
0.26905	-0.09332
0.30010	-0.09638
0.32079	-0.09509
0.34149	-0.09332
0.36219	-0.09348
0.37254	-0.09573
0.37254	-0.09670
0.37254	-0.08993
0.37254	-0.09332
0.37254	-0.09525
0.37254	-0.09509
0.37254	-0.09154
0.38288	-0.09187
0.38288	-0.09686
0.38288	-0.09718
0.38288	-0.09348
0.38288	-0.09428
0.38288	-0.09283
0.38288	-0.09477
0.41393	-0.09493
0.43462	-0.09267
0.48637	-0.09251
0.51741	-0.09412
0.56915	-0.09203
0.62089	-0.09444
0.69333	-0.09589
0.77611	-0.09541
0.84855	-0.09493
0.95203	-0.09686
1.04517	-0.09718
1.13830	-0.09122
1.22109	-0.08945
1.29352	-0.09477
1.35561	-0.09654
1.41770	-0.09299
1.47979	-0.09299
1.54188	-0.09509
1.58327	-0.09573
1.63501	-0.09815
1.69710	-0.09622
1.76954	-0.09815
1.81093	-0.09557
1.85233	-0.09428
1.89372	-0.09799
1.93511	-0.09670
1.98685	-0.09734
2.03859	-0.09461
2.09034	-0.09767
2.14208	-0.09767
2.19382	-0.09638
2.23521	-0.09654
2.28695	-0.09235
2.33869	-0.09509
2.40078	-0.09380
2.45252	-0.09557
2.50426	-0.09412
2.54566	-0.09686
2.58705	-0.09847
2.62844	-0.10073
2.66983	-0.09251
2.75262	-0.09751
2.80436	-0.09879
2.85610	-0.09718
2.91819	-0.09638
2.96993	-0.09960
3.04237	-0.09638
3.11481	-0.09589
3.18724	-0.09944
3.25968	-0.09525
3.32177	-0.09638
3.38386	-0.09573
3.44595	-0.09396
3.51839	-0.09992
3.58048	-0.10185
3.65291	-0.09573
3.75640	-0.09831
3.81848	-0.10024
3.89092	-0.09686
3.95301	-0.09396
4.02545	-0.09863
4.09789	-0.09364
4.15997	-0.09364
4.22206	-0.09702
4.27380	-0.09718
4.32555	-0.09525
4.37729	-0.09670
4.42903	-0.09670
4.47042	-0.09573
