Black Body Radiation Experiment Wed, Oct 19, 2022 11:27 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.05272
0.00000	-0.04918
0.00000	-0.05046
0.00000	-0.05095
0.00000	-0.04885
0.00000	-0.05063
0.00000	-0.05191
0.00000	-0.04805
0.00000	-0.04853
0.00000	-0.04918
0.00000	-0.05320
0.00000	-0.05111
0.00000	-0.04708
0.00000	-0.04660
0.00000	-0.04805
0.00000	-0.05095
0.00000	-0.04918
0.00000	-0.05175
0.00000	-0.04901
0.00000	-0.04982
0.00000	-0.04901
0.00000	-0.04934
0.00000	-0.05610
0.00000	-0.04708
0.00000	-0.05320
0.00000	-0.04934
0.00000	-0.04660
0.00000	-0.04354
0.00000	-0.04692
0.00000	-0.04273
0.00000	-0.05014
0.00000	-0.04676
0.00000	-0.04322
0.00000	-0.04450
0.00000	-0.04257
0.00000	-0.04015
0.00000	-0.03742
0.00000	-0.03935
0.00000	-0.03226
0.00000	-0.03226
0.00000	-0.02952
0.00000	-0.03452
0.00000	-0.02952
0.00000	-0.03323
0.00000	-0.03178
0.00000	-0.02888
0.00000	-0.02904
0.00000	-0.02904
0.00000	-0.03097
0.00000	-0.03081
0.00000	-0.02968
0.00000	-0.03484
0.00000	-0.03532
0.00000	-0.03323
0.00000	-0.02936
0.00000	-0.03291
0.00000	-0.03387
0.00000	-0.03403
0.00000	-0.03001
0.00000	-0.03226
0.00000	-0.03500
0.00000	-0.03258
0.00000	-0.02952
0.00000	-0.02920
0.00000	-0.03081
0.00000	-0.02839
0.00000	-0.02678
0.00000	-0.02340
0.00000	-0.02195
0.00000	-0.02227
0.00000	-0.02098
0.00000	-0.02034
0.00000	-0.02082
0.00000	-0.02340
0.00000	-0.02227
0.00000	-0.02082
0.00000	-0.01567
0.00000	-0.02018
0.00000	-0.01776
0.00000	-0.02018
0.00000	-0.02517
0.00000	-0.02614
0.00000	-0.02437
0.00000	-0.02968
0.00000	-0.03017
0.00000	-0.03226
0.00000	-0.03677
0.00000	-0.03548
0.00000	-0.03903
0.00000	-0.03887
0.00000	-0.04015
0.00000	-0.04354
0.00000	-0.04080
0.00000	-0.04531
0.00000	-0.04708
0.00000	-0.04789
0.00000	-0.04241
0.00000	-0.04676
0.00000	-0.04708
0.00000	-0.04998
0.00000	-0.04483
0.00000	-0.04869
0.00000	-0.05320
0.00000	-0.04789
0.00000	-0.05079
0.00000	-0.04756
0.00000	-0.05465
0.00000	-0.04789
0.00000	-0.05063
0.00000	-0.05079
0.00000	-0.04660
0.00000	-0.04789
0.00000	-0.05417
0.00000	-0.05111
0.00000	-0.05256
0.00000	-0.04821
0.00000	-0.04966
0.00000	-0.05159
0.00000	-0.05288
0.00000	-0.05417
0.00000	-0.05498
0.00000	-0.05063
0.00000	-0.05336
0.00000	-0.05578
0.00000	-0.05046
0.00000	-0.05111
0.00000	-0.05240
0.00000	-0.05369
0.00000	-0.05304
0.00000	-0.04837
0.00000	-0.04966
0.00000	-0.05224
0.00000	-0.05272
0.00000	-0.05063
0.00000	-0.05240
0.00000	-0.04966
0.00000	-0.04869
0.00000	-0.04805
0.00000	-0.05143
0.00000	-0.05240
0.00000	-0.04966
0.00000	-0.05256
0.00000	-0.04982
0.00000	-0.04982
0.00000	-0.05046
0.00000	-0.05143
0.00000	-0.05191
0.00000	-0.05208
0.00000	-0.05111
0.00000	-0.05159
0.00000	-0.05191
0.00000	-0.05030
0.00000	-0.04950
0.00000	-0.05208
0.00000	-0.05288
0.00000	-0.05288
0.00000	-0.04934
0.00000	-0.05143
0.00000	-0.05046
0.00000	-0.05594
0.00000	-0.05353
0.00000	-0.04805
0.00000	-0.05417
0.00000	-0.05030
0.00000	-0.04950
0.00000	-0.04740
0.00000	-0.04837
0.00000	-0.05562
0.00000	-0.05191
0.00000	-0.05240
0.00000	-0.05449
0.00000	-0.05191
0.00000	-0.05191
0.00000	-0.04644
0.00000	-0.04950
0.00000	-0.05143
0.00000	-0.05030
0.00000	-0.04934
0.00000	-0.04918
0.00000	-0.05046
0.00000	-0.05111
0.00000	-0.05336
0.00000	-0.05353
0.00000	-0.04950
0.00000	-0.05191
0.00000	-0.05111
0.00000	-0.04934
0.00000	-0.05143
0.00000	-0.05304
0.00000	-0.05030
0.00000	-0.04998
0.00000	-0.04918
0.00000	-0.05256
0.00000	-0.05143
0.00000	-0.04644
0.00000	-0.05079
0.00000	-0.05095
0.00000	-0.05272
0.00000	-0.04982
0.01035	-0.05256
0.02070	-0.05030
0.03104	-0.05256
0.05174	-0.05191
0.07244	-0.04756
0.11383	-0.04660
0.14487	-0.05385
0.17592	-0.04724
0.20696	-0.05256
0.27940	-0.05111
0.37254	-0.05336
0.47602	-0.04934
0.58985	-0.05159
0.71403	-0.05353
0.84855	-0.04789
0.98308	-0.05111
1.13830	-0.05079
1.31422	-0.04950
1.47979	-0.05320
1.63501	-0.05336
1.81093	-0.05208
2.00755	-0.05191
2.17312	-0.05417
2.30765	-0.05095
2.42148	-0.04740
2.52496	-0.04789
2.61809	-0.04789
2.71123	-0.05353
2.80436	-0.05304
2.89749	-0.05111
3.00098	-0.05385
3.10446	-0.05159
3.21829	-0.05046
3.33212	-0.05175
3.46665	-0.04805
3.58048	-0.04724
3.72535	-0.05046
3.83918	-0.04740
3.97371	-0.04821
4.11858	-0.05063
4.24276	-0.04708
4.36694	-0.05127
4.50147	-0.04966
4.64634	-0.05256
4.78087	-0.04773
4.92574	-0.04676
5.06027	-0.04708
5.18445	-0.04837
5.30862	-0.04773
5.43280	-0.04563
5.57768	-0.04612
5.69151	-0.04901
5.81569	-0.04869
5.91917	-0.04837
