Black Body Radiation Experiment Wed, Oct 19, 2022 11:38 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.06045
0.00000	-0.06239
0.00000	-0.06126
0.00000	-0.05868
0.00000	-0.05900
0.00000	-0.05852
0.00000	-0.06239
0.00000	-0.06271
0.00000	-0.06110
0.00000	-0.05949
0.00000	-0.06094
0.00000	-0.05965
0.00000	-0.05788
0.00000	-0.06174
0.00000	-0.06222
0.00000	-0.06061
0.00000	-0.05804
0.00000	-0.06061
0.00000	-0.05965
0.00000	-0.05739
0.00000	-0.05836
0.00000	-0.06303
0.00000	-0.05884
0.00000	-0.05691
0.00000	-0.05449
0.00000	-0.06126
0.00000	-0.06110
0.00000	-0.06609
0.00000	-0.06206
0.00000	-0.05771
0.00000	-0.06045
0.00000	-0.05755
0.00000	-0.06094
0.00000	-0.06319
0.00000	-0.06384
0.00000	-0.06174
0.00000	-0.05949
0.00000	-0.05771
0.00000	-0.06448
0.00000	-0.06190
0.00000	-0.05788
0.00000	-0.05643
0.00000	-0.06029
0.00000	-0.05965
0.00000	-0.06319
0.00000	-0.06045
0.00000	-0.06287
0.00000	-0.06287
0.00000	-0.06222
0.00000	-0.06158
0.00000	-0.05916
0.00000	-0.05643
0.00000	-0.06255
0.00000	-0.05659
0.00000	-0.06222
0.00000	-0.06158
0.00000	-0.05884
0.00000	-0.06303
0.00000	-0.05981
0.00000	-0.05659
0.00000	-0.05691
0.00000	-0.06255
0.00000	-0.06174
0.00000	-0.06416
0.00000	-0.06142
0.00000	-0.06174
0.00000	-0.05804
0.00000	-0.06142
0.00000	-0.06174
0.00000	-0.06094
0.00000	-0.05965
0.00000	-0.05949
0.00000	-0.05804
0.00000	-0.06013
0.00000	-0.05933
0.00000	-0.06029
0.00000	-0.06335
0.00000	-0.06271
0.00000	-0.05852
0.00000	-0.06464
0.00000	-0.06287
0.00000	-0.05610
0.00000	-0.05965
0.00000	-0.06416
0.00000	-0.06158
0.01035	-0.06094
0.01035	-0.06174
0.01035	-0.05836
0.01035	-0.05820
0.01035	-0.06464
0.01035	-0.06255
0.01035	-0.05933
0.01035	-0.05659
0.02070	-0.06174
0.02070	-0.05820
0.02070	-0.05836
0.03104	-0.05949
0.03104	-0.05836
0.03104	-0.06190
0.04139	-0.06770
0.05174	-0.05836
0.07244	-0.06013
0.11383	-0.06319
0.31045	-0.06142
0.42428	-0.06222
0.61054	-0.06464
0.76577	-0.05852
0.99343	-0.06367
1.19004	-0.06029
1.42805	-0.05771
1.63501	-0.05868
1.86268	-0.06174
2.07999	-0.06400
2.29730	-0.06094
2.46287	-0.05965
2.62844	-0.05868
2.75262	-0.06255
2.85610	-0.06126
2.94924	-0.05997
3.03202	-0.06158
3.12516	-0.06158
3.20794	-0.06029
3.25968	-0.05530
3.34247	-0.06013
3.42525	-0.05691
3.52873	-0.05997
3.63222	-0.06190
3.72535	-0.06013
3.84953	-0.05626
3.95301	-0.06013
4.09789	-0.06206
4.20137	-0.05981
4.32555	-0.05949
4.43938	-0.06077
4.55321	-0.06190
4.67738	-0.05997
4.78087	-0.06061
4.89470	-0.05868
5.00853	-0.05965
5.12236	-0.06061
5.25688	-0.05900
5.39141	-0.05739
5.51559	-0.05836
5.65012	-0.05949
5.79499	-0.05916
5.95021	-0.06190
6.10544	-0.06126
6.23996	-0.06142
6.38484	-0.05820
6.54006	-0.05820
6.68493	-0.05884
6.80911	-0.06094
6.97468	-0.05852
7.12991	-0.06045
7.24374	-0.05739
7.36792	-0.05739
7.50244	-0.06142
7.58523	-0.05465
7.70941	-0.05723
7.82324	-0.05981
7.92672	-0.05965
8.03020	-0.05562
8.13368	-0.05481
8.21647	-0.06077
8.29925	-0.06094
8.37169	-0.06029
8.44413	-0.05997
8.49587	-0.05659
8.55796	-0.05852
8.62005	-0.05755
8.68214	-0.05739
8.73388	-0.05916
8.80631	-0.05852
