Black Body Radiation Experiment Wed, Oct 19, 2022 11:36 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.03661
0.00000	-0.03500
0.00000	-0.03339
0.00000	-0.03339
0.00000	-0.03291
0.00000	-0.03178
0.00000	-0.03403
0.00000	-0.03532
0.00000	-0.03742
0.00000	-0.03339
0.00000	-0.03242
0.00000	-0.03516
0.00000	-0.03162
0.00000	-0.03484
0.00000	-0.03146
0.00000	-0.03677
0.00000	-0.03822
0.00000	-0.03645
0.00000	-0.03548
0.00000	-0.03484
0.00000	-0.03548
0.00000	-0.03774
0.00000	-0.03500
0.00000	-0.03564
0.00000	-0.03661
0.00000	-0.03742
0.00000	-0.03774
0.00000	-0.03693
0.00000	-0.03548
0.00000	-0.03194
0.00000	-0.03887
0.00000	-0.03645
0.00000	-0.03500
0.00000	-0.03468
0.00000	-0.03113
0.00000	-0.03516
0.00000	-0.03564
0.00000	-0.03564
0.00000	-0.03854
0.00000	-0.03226
0.00000	-0.03323
0.00000	-0.03210
0.00000	-0.03210
0.00000	-0.03597
0.00000	-0.03194
0.00000	-0.03484
0.00000	-0.03146
0.00000	-0.03307
0.00000	-0.03564
0.00000	-0.03758
0.00000	-0.03677
0.01035	-0.03178
0.02070	-0.03258
0.03104	-0.03516
0.05174	-0.03017
0.11383	-0.03339
0.18627	-0.03210
0.24836	-0.03758
0.33114	-0.03355
0.42428	-0.03371
0.52776	-0.03500
0.65194	-0.03967
0.79681	-0.03226
0.96238	-0.03258
1.09691	-0.03580
1.23144	-0.03806
1.37631	-0.03500
1.50049	-0.03580
1.64536	-0.03548
1.75919	-0.03645
1.87302	-0.03468
1.97651	-0.03371
2.09034	-0.03452
2.18347	-0.03178
2.29730	-0.03516
2.40078	-0.03403
2.51461	-0.03500
2.61809	-0.03484
2.73192	-0.03339
2.82506	-0.03274
2.92854	-0.03564
3.01133	-0.03774
3.11481	-0.03436
3.23899	-0.03178
3.35282	-0.03210
3.44595	-0.03355
3.54943	-0.03146
3.64257	-0.03387
3.71500	-0.03129
3.77709	-0.02968
3.85988	-0.03226
3.98406	-0.03709
4.07719	-0.03049
4.17032	-0.03355
4.26346	-0.03146
4.34624	-0.03629
4.42903	-0.03903
4.52216	-0.03548
4.61530	-0.03307
4.73947	-0.03725
4.83261	-0.03548
4.93609	-0.03387
5.01888	-0.03468
5.12236	-0.03629
5.22584	-0.03258
5.32932	-0.03387
5.45350	-0.03371
5.55698	-0.03274
5.66046	-0.03806
5.75360	-0.03307
5.84673	-0.03532
5.93986	-0.03355
6.05369	-0.03226
6.14683	-0.03387
6.22961	-0.03210
6.32275	-0.02920
6.41588	-0.03242
6.56076	-0.03242
6.65389	-0.03468
6.72633	-0.03419
6.84016	-0.03532
6.95399	-0.03403
7.06782	-0.03436
7.17130	-0.03242
7.26443	-0.03484
7.34722	-0.03532
7.44035	-0.03274
7.53349	-0.03742
7.63697	-0.03436
7.74045	-0.03564
7.83358	-0.03339
7.92672	-0.03210
7.99916	-0.03274
8.09229	-0.03419
8.19577	-0.03129
8.28891	-0.03162
8.37169	-0.03113
8.47517	-0.03274
8.56831	-0.03226
8.67179	-0.02968
8.78562	-0.02952
8.89945	-0.03146
9.01328	-0.03178
9.14781	-0.02823
9.27198	-0.02823
9.40651	-0.03291
9.48930	-0.02920
9.59278	-0.03274
9.68591	-0.03226
9.76870	-0.03129
9.86183	-0.03709
9.94462	-0.03065
10.02740	-0.03629
10.08949	-0.03001
10.16193	-0.03162
10.22402	-0.02984
10.29646	-0.02952
10.35854	-0.03049
10.42063	-0.03323
10.49307	-0.03210
10.59655	-0.03162
10.67934	-0.03162
10.77247	-0.03178
10.83456	-0.03790
10.92770	-0.03452
11.02083	-0.03178
11.12431	-0.03194
11.21744	-0.03355
11.32093	-0.03001
11.42441	-0.03387
11.52789	-0.03291
11.63137	-0.03484
11.76590	-0.03387
11.87973	-0.03371
11.98321	-0.03146
12.08669	-0.03371
12.20052	-0.03194
12.31435	-0.02936
12.41784	-0.03629
12.52132	-0.03452
12.60410	-0.03258
12.70758	-0.03097
12.81107	-0.02952
12.90420	-0.03146
12.98699	-0.03113
13.06977	-0.03307
13.14221	-0.03436
13.21465	-0.03178
13.30778	-0.03564
13.38022	-0.03033
13.46300	-0.02984
13.55614	-0.03419
13.65962	-0.03129
13.75275	-0.02968
13.84589	-0.02968
13.94937	-0.02775
14.05285	-0.03226
14.24947	-0.03081
14.39434	-0.02775
14.51852	-0.03274
14.63235	-0.03081
14.75653	-0.03709
14.89105	-0.03097
14.99454	-0.03436
15.10837	-0.03129
15.21185	-0.03113
15.32568	-0.03242
15.41881	-0.03194
15.51195	-0.03403
15.62578	-0.03484
15.70856	-0.03613
15.78100	-0.03033
15.85344	-0.03548
15.91553	-0.03564
